{line=My name is Schooldevops, data_source=test-file-source}
{line=Apple, data_source=test-file-source}
{line=Watermelon, data_source=test-file-source}
{line=Orange, data_source=test-file-source}
{line=melon, data_source=test-file-source}
{line=lemon, data_source=test-file-source}
{line=, data_source=test-file-source}
{line=-------, data_source=test-file-source}
{line=Java, data_source=test-file-source}
{line=Go, data_source=test-file-source}
{line=Python, data_source=test-file-source}
{line=, data_source=test-file-source}
{line=Hello, data_source=test-file-source}
{line=test, data_source=test-file-source}
{line=, data_source=test-file-source}
{line=kido, data_source=test-file-source}
{line=switch, data_source=test-file-source}
{line=Hello this is example of connector., data_source=test-file-source}
